PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
152,0,3,Passenger 152,male,39.68184660532861,2,1,858171,137.69,nan,nan
153,0,3,Passenger 153,female,26.68691616816677,1,1,598095,143.41,nan,S
154,0,3,Passenger 154,female,23.877632654922497,2,1,170309,80.63,B20,C
155,1,3,Passenger 155,male,19.14849473442202,1,0,786093,13.37,D45,C
156,0,3,Passenger 156,male,21.74589470021045,4,2,219156,143.61,nan,Q
157,1,1,Passenger 157,male,59.49094425308725,2,0,438144,14.12,nan,Q
158,1,3,Passenger 158,male,42.44679580736786,2,2,541848,129.93,nan,C
159,0,3,Passenger 159,male,16.489256337919787,2,1,121576,41.09,nan,C
160,1,1,Passenger 160,female,16.7754204325643,1,3,627608,117.46,nan,Q
161,0,3,Passenger 161,female,34.81866061718492,3,2,766110,105.74,nan,S
162,1,1,Passenger 162,female,35.47264797377967,4,1,727290,12.57,C23,nan
163,1,2,Passenger 163,male,35.48883835317365,2,1,284535,78.94,nan,S
164,0,3,Passenger 164,female,27.450442064463022,3,2,126572,124.21,nan,S
165,0,1,Passenger 165,male,28.745457399971,4,3,380092,171.24,nan,S
166,1,3,Passenger 166,female,33.27879524159357,4,1,620114,178.84,nan,nan
167,0,3,Passenger 167,female,30.858930062933304,2,2,740816,101.93,C23,S
168,0,3,Passenger 168,male,7.80699627252465,2,3,794186,148.4,nan,S
169,0,1,Passenger 169,female,27.702003694248063,1,3,189051,70.13,nan,S
170,0,2,Passenger 170,male,21.485935657396865,3,1,914299,75.02,nan,S
171,1,3,Passenger 171,female,31.75211418908512,3,0,291303,46.95,B20,C
172,0,3,Passenger 172,male,59.8525900260341,2,0,846716,116.77,nan,C
173,0,3,Passenger 173,male,33.67481665474304,4,1,881700,69.77,nan,C
174,0,2,Passenger 174,female,26.86470313827602,2,3,303305,26.03,nan,C
175,1,3,Passenger 175,male,39.21801501977252,4,1,406822,140.15,D45,C
176,0,3,Passenger 176,female,34.826878872092124,4,2,993993,144.47,nan,C
177,1,3,Passenger 177,male,34.200944904518416,2,0,899395,78.4,nan,C
178,0,1,Passenger 178,female,36.06850593215671,0,2,557576,24.58,nan,Q
179,1,3,Passenger 179,female,50.56543564829541,3,1,673722,91.0,nan,S
180,0,3,Passenger 180,female,18.691115646740844,4,1,166617,94.04,D45,C
181,0,3,Passenger 181,male,34.736320768114545,4,3,741857,137.05,C23,S
182,0,2,Passenger 182,male,20.736188700184616,0,3,831672,69.93,nan,S
183,1,3,Passenger 183,male,35.55512646342248,1,3,983784,139.69,nan,Q
184,1,3,Passenger 184,male,20.813134885139057,0,2,966164,175.58,nan,S
185,0,1,Passenger 185,female,25.826331863949157,0,3,610874,55.12,nan,C
186,1,3,Passenger 186,female,27.049100857620935,4,1,469792,195.99,nan,C
187,1,3,Passenger 187,female,39.75816719344709,3,3,181494,83.41,nan,Q
188,0,1,Passenger 188,female,39.18454443942414,0,0,844265,60.78,nan,C
189,0,2,Passenger 189,female,17.542826235536154,1,3,701513,90.09,nan,Q
190,0,3,Passenger 190,female,30.549341109998487,2,2,182867,27.94,B20,C
191,0,1,Passenger 191,male,22.904201452508275,0,0,268600,33.88,C23,C
192,1,3,Passenger 192,female,17.414950893246655,0,0,879957,88.74,E31,C
193,1,2,Passenger 193,female,27.829829495756297,1,0,965404,154.86,nan,C
194,1,3,Passenger 194,female,26.915172115441802,3,2,558818,181.06,B20,S
195,0,1,Passenger 195,male,54.26716486345522,0,1,982693,136.32,nan,Q
196,0,3,Passenger 196,male,34.32959825360696,0,3,715036,29.99,nan,C
197,1,3,Passenger 197,male,16.22382499245763,3,0,354265,137.68,D45,C
198,1,3,Passenger 198,female,24.352259958290578,1,0,619493,130.73,nan,C
199,1,3,Passenger 199,female,40.213832954293984,0,0,264404,163.1,nan,C
200,1,1,Passenger 200,male,50.88442772869925,3,1,753817,166.8,nan,S
201,1,3,Passenger 201,female,14.140166877620416,0,1,584353,174.96,nan,C
202,0,1,Passenger 202,male,11.20075614860955,2,2,364395,88.68,nan,S
203,0,1,Passenger 203,male,48.70965175371782,4,1,985540,142.59,nan,S
204,1,2,Passenger 204,male,33.89614177370904,2,3,782387,60.97,C23,C
205,1,2,Passenger 205,female,21.317072681236336,0,2,197382,199.87,nan,Q
206,0,3,Passenger 206,female,35.346290861224354,1,2,579767,43.31,nan,nan
207,0,3,Passenger 207,male,3.6425226098312216,4,3,109583,11.92,nan,S
208,1,2,Passenger 208,female,30.03375506597161,2,3,674675,38.27,nan,Q
209,0,2,Passenger 209,male,33.278211728430854,3,3,385248,157.42,B20,S
210,0,3,Passenger 210,female,39.2427013953783,1,2,636512,94.89,nan,S
211,0,2,Passenger 211,female,19.861040477074624,2,2,947056,95.03,nan,C
212,1,2,Passenger 212,female,30.85687161403359,3,2,549274,191.45,nan,S
213,1,1,Passenger 213,male,20.745753739404126,0,3,990752,184.73,C23,Q
214,0,3,Passenger 214,female,32.55383755674317,3,3,327444,69.13,C23,Q
215,1,3,Passenger 215,female,21.04653677636976,2,0,440716,49.72,nan,nan
216,0,2,Passenger 216,male,25.918991608397793,2,1,971901,171.21,nan,S
217,0,1,Passenger 217,female,20.04184605209771,0,0,964360,182.14,nan,C
218,1,3,Passenger 218,male,36.51136241823657,3,3,566690,112.9,nan,C
219,1,3,Passenger 219,female,38.58451116656666,3,2,366285,129.59,nan,S
220,1,2,Passenger 220,male,27.65379430042586,0,3,778710,58.81,C23,S
221,1,3,Passenger 221,female,30.382379949600285,3,1,568298,162.15,nan,S
222,0,1,Passenger 222,female,15.51408585366456,0,0,957303,130.1,D45,nan
223,0,2,Passenger 223,male,27.00323351993213,1,0,236149,105.67,nan,S
224,0,3,Passenger 224,male,29.497953829582553,2,2,670303,21.42,nan,Q
225,0,2,Passenger 225,male,56.20793091029975,1,0,271929,184.03,nan,C
226,0,3,Passenger 226,male,18.880329742258365,4,0,856556,126.94,nan,Q
227,1,2,Passenger 227,male,44.64177238752438,4,3,290912,46.61,nan,S
228,0,2,Passenger 228,female,39.96858773465808,4,0,946334,125.21,nan,S
229,1,3,Passenger 229,male,32.806364044901365,0,0,105577,138.72,nan,Q
230,1,2,Passenger 230,male,47.586204841951336,3,0,906434,109.9,nan,Q
231,1,3,Passenger 231,female,33.72105472606863,1,2,150711,146.44,nan,C
232,0,2,Passenger 232,male,33.891591956679285,1,2,663739,120.48,nan,C
233,0,2,Passenger 233,female,29.468793469824547,1,3,593027,190.08,nan,Q
234,0,1,Passenger 234,female,42.235688824186276,1,0,804463,20.2,nan,C
235,0,3,Passenger 235,female,40.96469233810883,4,2,521863,30.19,nan,C
236,1,2,Passenger 236,female,23.743227125037876,1,2,659119,43.0,nan,C
237,0,3,Passenger 237,female,16.807528054012327,3,3,349402,141.13,C23,Q
238,0,2,Passenger 238,male,27.97019362604343,4,1,855664,132.66,D45,C
239,1,3,Passenger 239,male,21.999614356023535,1,0,982930,179.49,nan,S
240,0,1,Passenger 240,male,29.36475425384645,0,2,344942,149.25,nan,Q
241,1,3,Passenger 241,female,42.37438134684139,2,3,195119,106.59,nan,S
242,1,3,Passenger 242,male,25.426983449132102,2,3,953262,198.45,D45,S
243,1,3,Passenger 243,female,29.57176618688425,2,3,442776,60.56,nan,C
244,0,3,Passenger 244,female,30.58022734808395,4,2,923265,168.31,nan,Q
245,0,3,Passenger 245,female,38.484308822052846,1,0,867754,91.09,C23,nan
246,1,3,Passenger 246,female,7.531106660153949,4,1,848224,133.26,nan,S
247,0,1,Passenger 247,male,23.932997052347034,3,0,910830,148.18,nan,nan
248,1,1,Passenger 248,female,32.11283692279473,0,3,685842,130.41,nan,S
249,1,3,Passenger 249,female,42.000789564268615,0,3,150755,36.7,nan,C
250,1,3,Passenger 250,male,25.080975524937948,2,1,253412,94.16,C23,C
251,0,3,Passenger 251,male,11.23447293958126,2,0,951426,116.67,D45,Q
252,0,2,Passenger 252,female,36.197114459661364,2,3,688172,171.32,nan,C
253,1,1,Passenger 253,female,23.646376111743706,1,3,970793,94.29,nan,C
254,0,1,Passenger 254,female,18.103333409096386,3,0,641770,184.56,nan,S
255,0,3,Passenger 255,female,23.75654610286776,3,3,154225,93.67,nan,C
256,0,2,Passenger 256,female,28.154746423441505,3,0,289921,114.27,nan,C
257,1,2,Passenger 257,female,23.952553354617873,3,3,699142,161.29,nan,S
258,1,2,Passenger 258,male,7.9443394290093075,2,0,665544,120.78,nan,S
259,0,1,Passenger 259,male,38.970661968871326,0,1,340617,192.44,nan,C
260,0,3,Passenger 260,male,42.748750412787224,2,3,208721,135.46,nan,S
261,1,2,Passenger 261,female,36.51521991339506,3,1,705398,109.31,nan,S
262,1,3,Passenger 262,female,18.623143295751834,2,3,213606,14.48,nan,Q
263,0,2,Passenger 263,female,27.98508466052482,3,3,638938,88.61,nan,C
264,0,2,Passenger 264,male,29.934786847705418,4,2,277190,66.86,nan,C
265,1,1,Passenger 265,female,35.987943895619104,0,0,128930,152.14,nan,Q
266,1,1,Passenger 266,female,36.68340488718081,4,1,841067,49.57,nan,C
267,1,2,Passenger 267,female,22.65826201221504,1,1,360102,48.99,nan,nan
268,1,2,Passenger 268,female,30.819955564135604,2,1,462544,46.01,nan,S
269,0,3,Passenger 269,male,34.57280404615241,1,0,373945,33.87,nan,S
270,0,2,Passenger 270,female,44.558223221467664,2,2,675648,69.09,nan,nan
271,1,3,Passenger 271,male,37.04506539824723,4,1,974340,178.33,D45,S
272,1,3,Passenger 272,male,37.89056687375519,3,0,247631,157.24,nan,C
273,1,3,Passenger 273,male,30.83826627929361,3,3,394478,149.7,nan,C
274,1,1,Passenger 274,female,44.10459145203504,2,1,336545,161.49,nan,S
275,0,2,Passenger 275,female,34.09762795959497,3,1,113288,61.19,nan,C
276,0,1,Passenger 276,female,21.389120898264295,4,2,777758,178.61,nan,Q
277,1,2,Passenger 277,female,44.033699701251905,3,1,307302,36.09,nan,S
278,1,3,Passenger 278,female,36.979032725390276,4,1,898623,73.91,nan,S
279,1,1,Passenger 279,female,25.569559788715175,1,3,380195,121.48,nan,Q
280,1,2,Passenger 280,male,25.205070326007565,4,0,161715,29.55,nan,S
281,1,3,Passenger 281,male,32.96575545140762,0,0,110737,148.72,nan,C
282,0,3,Passenger 282,male,34.63184795267585,0,2,689428,83.58,C23,S
283,0,3,Passenger 283,male,31.972922656312065,0,3,780611,159.04,nan,C
284,0,1,Passenger 284,male,33.11308673442885,2,0,282047,103.65,D45,S
285,0,2,Passenger 285,male,46.999573745763804,2,3,367291,44.37,C23,C
286,0,3,Passenger 286,male,40.71543152234886,2,0,674796,149.6,nan,S
287,0,1,Passenger 287,female,31.906355912650245,4,3,414368,57.91,nan,C
288,0,2,Passenger 288,male,39.41310580767483,2,2,381787,103.25,nan,C
289,0,1,Passenger 289,male,19.674760964724605,1,1,401111,24.35,D45,Q
290,0,1,Passenger 290,male,33.979270499468086,0,2,203535,127.39,D45,Q
291,0,2,Passenger 291,female,48.0930634973311,4,0,927165,136.51,nan,C
292,0,1,Passenger 292,male,27.81954104607626,0,2,396952,81.95,D45,C
293,1,3,Passenger 293,male,21.52366071380915,2,1,612438,191.34,nan,S
294,0,3,Passenger 294,female,23.479111114069394,4,2,822648,176.09,nan,S
295,0,3,Passenger 295,male,19.103669626576117,3,0,683247,144.51,E31,C
296,0,2,Passenger 296,male,22.152380918722965,1,0,495065,145.59,C23,S
297,1,1,Passenger 297,male,26.29491901409971,2,2,430322,57.96,nan,C
298,0,1,Passenger 298,male,15.94432980821358,2,1,822496,134.79,C23,Q
299,1,3,Passenger 299,male,30.15618333949603,1,2,291812,47.66,B20,C
300,0,3,Passenger 300,male,39.02277173786647,1,1,212255,37.36,C23,Q
301,0,1,Passenger 301,female,20.9224381985308,3,3,710610,199.9,D45,C
302,0,3,Passenger 302,female,45.19283923641769,2,1,930997,128.25,C23,nan
303,0,1,Passenger 303,female,35.107920885275945,2,3,608522,91.89,nan,C
304,1,3,Passenger 304,male,40.305805856240575,0,2,101132,64.75,D45,C
305,1,3,Passenger 305,female,23.42165446147863,4,1,793619,124.74,nan,C
306,1,3,Passenger 306,male,38.545252270666154,4,3,851972,19.42,D45,S
307,0,3,Passenger 307,male,19.08066099604687,0,3,950100,27.99,nan,S
308,0,3,Passenger 308,female,38.90247500836509,4,3,359427,16.24,nan,S
309,1,2,Passenger 309,male,31.718393397935312,1,0,531779,104.84,nan,S
310,0,3,Passenger 310,male,35.53251219984784,4,2,585443,124.12,nan,S
311,0,1,Passenger 311,female,18.24405394375148,4,3,733123,21.87,nan,S
312,0,3,Passenger 312,female,21.049301577233955,0,1,242003,147.03,B20,C
313,0,3,Passenger 313,male,35.972282182533846,3,3,882516,53.78,B20,S
314,1,3,Passenger 314,female,20.516519957757993,4,0,697457,140.19,nan,C
315,1,2,Passenger 315,female,34.63206292099123,4,2,360529,196.56,B20,S
316,1,3,Passenger 316,male,16.328621935397543,3,0,543855,141.31,D45,S
317,0,3,Passenger 317,male,38.48174212666668,0,0,353608,177.81,nan,S
318,0,3,Passenger 318,male,17.67476685231491,3,0,858673,190.16,nan,Q
319,0,1,Passenger 319,male,35.522999376795234,0,1,814261,102.48,E31,S
320,0,1,Passenger 320,male,36.256309336460006,1,2,724705,143.44,nan,nan
321,0,2,Passenger 321,female,23.032281815704252,0,2,625332,171.87,D45,C
322,1,1,Passenger 322,female,35.82026567084727,1,1,277763,77.76,D45,C
323,1,3,Passenger 323,female,32.60442263333556,1,2,331807,59.67,D45,S
324,0,2,Passenger 324,male,24.61158143807262,0,0,124363,189.85,nan,nan
325,1,3,Passenger 325,female,19.91445315923792,2,2,408838,148.0,nan,C
326,1,2,Passenger 326,female,10.37374308327421,0,1,494798,51.74,nan,C
327,0,1,Passenger 327,female,33.496500472996935,4,0,907733,95.33,nan,C
328,1,3,Passenger 328,male,14.351972286379448,4,1,436473,161.33,nan,C
329,0,3,Passenger 329,female,30.953441994413083,2,3,101620,113.94,nan,S
330,0,2,Passenger 330,male,27.36551783917751,1,0,424368,133.49,nan,S
331,0,3,Passenger 331,male,36.79142775438196,2,0,549871,153.22,D45,S
332,1,3,Passenger 332,male,26.979545005101357,4,2,195419,128.18,nan,Q
333,0,2,Passenger 333,female,26.705522136529087,2,0,792894,112.62,nan,S
334,0,3,Passenger 334,female,37.318707042882956,0,1,596712,152.43,nan,C
335,0,3,Passenger 335,male,33.35058029084117,2,2,826989,148.24,nan,C
336,0,3,Passenger 336,male,33.16155957182778,1,3,942288,129.68,nan,Q
337,1,1,Passenger 337,male,34.69267589808526,0,1,280324,78.36,C23,C
338,1,3,Passenger 338,male,14.644278767928942,3,3,417953,87.1,nan,Q
339,0,1,Passenger 339,male,37.56788679986982,4,3,646547,194.38,C23,C
340,0,1,Passenger 340,male,36.12468794013602,4,3,120655,31.35,nan,C
341,0,2,Passenger 341,female,19.83316871423503,2,0,550400,61.02,D45,C
342,0,2,Passenger 342,male,27.559195263257987,0,1,121602,103.56,D45,S
343,0,3,Passenger 343,male,29.60692712372369,3,1,972377,168.98,B20,C
344,0,3,Passenger 344,male,28.655032155982674,0,0,766470,41.1,D45,S
345,0,3,Passenger 345,female,33.338599665685344,4,2,987278,62.62,E31,C
346,1,2,Passenger 346,female,44.313667818311835,0,3,442962,22.5,D45,S
347,1,2,Passenger 347,female,40.81766727672829,3,1,625825,144.14,nan,S
348,0,2,Passenger 348,male,16.877808065685937,2,0,510354,55.26,nan,S
349,0,3,Passenger 349,female,36.220699903060485,1,3,880498,83.85,nan,S
350,1,1,Passenger 350,male,43.2893331953541,0,2,801562,94.3,nan,C
351,0,3,Passenger 351,female,33.868085206892026,1,2,271236,179.35,nan,C
352,1,3,Passenger 352,female,40.90980425185967,4,3,189743,88.15,nan,Q
353,1,2,Passenger 353,female,50.12270445700765,2,2,547875,37.59,D45,C
354,0,3,Passenger 354,female,40.23709546106981,2,1,186155,109.62,B20,C
